ID,Age_range,"Gender 
","Video_Usefulness
","Video_Duration_sufficient
","Video_effectiveness
","Exercise_importancy

","Recommended

"
1,50-59,Male ,5,4,4,4,4
2,Below_50,Male ,5,4,5,4,4
3,Below_50,Female ,5,2,5,5,5
4,Below_50,Female ,5,5,5,5,5
5,Below_50,Male ,5,4,5,5,5
6,Below_50,Female ,5,3,4,5,5
7,50-59,Female ,5,5,5,5,5
8,50-59,Female ,5,5,5,5,5
9,50-59,Male ,3,3,4,5,4
10,50-59,Female ,4,4,4,4,3
11,50-59,Female ,5,5,5,5,5
12,60-69,Female ,5,5,5,5,5
13,50-59,Male ,5,4,4,5,5
14,60-69,Female ,5,4,5,5,5
15,Below_50,Male ,4,4,4,4,4
16,60-69,Male ,5,5,5,5,5
17,50-59,Female ,4,3,4,4,3
18,Below 50,Male ,4,3,5,5,4
19,50-59,Male ,4,3,4,4,3
20,50-59,Female ,5,5,5,4,5
21,50-59,Male ,5,4,5,5,4
22,Below_50,Female ,4,2,4,5,4
23,Below_50,Female ,5,5,5,5,5
24,50-59,Male ,4,4,5,5,5
25,50-59,Male ,4,3,4,4,4
26,50-59,Female ,4,3,5,5,4
27,Below_50,Male ,4,3,4,5,3
28,50-59,Female ,5,4,4,4,4
29,60-69,Female ,4,4,4,4,4
30,50-59,Female ,5,5,5,5,5
31,50-59,Female ,4,3,4,4,4
32,50-59,Female ,5,4,4,5,4
33,60-69,Female ,5,3,4,4,4
34,60-69,Female ,4,4,4,4,4
35,50-59,Female ,4,4,5,5,4
36,60-69,Male ,4,4,4,4,3
37,70-79,Female ,5,5,5,5,5
38,60-69,Female ,4,4,4,4,4
39,50-59,Female ,5,4,4,4,4
40,60-69,Female ,5,5,5,5,5
